year,month,date_full,date_short,group,unit,inflation_deflator,real_total_wealth,real_wealth_share,real_wealth_per_unit_growth,real_wealth_per_unit,real_wealth_growth_rate_per_unit_to_previous_period,real_wealth_growth_factor_per_unit_indexed,real_wealth_growth_rate_per_unit_indexed,variance_real_wealth
1978,7,01/07/1978,Jul-78,Middle 40%,adult,0.27372399,7.04E+12,0.346202907,0.101858151,117225.954,0.101858151,1.101858151,0.101858151,32994360.21
1978,7,01/07/1978,Jul-78,Bottom 50%,adult,0.27372399,1.78E+11,0.008753784,-0.059262927,2371.258325,-0.059262927,0.940737073,-0.059262927,13500.50137
1978,8,01/08/1978,Aug-78,Top 1%,adult,0.27510703,4.49E+12,0.219267133,0.049617835,2988726.371,0.049617835,1.049617835,0.049617835,21446897248
1978,8,01/08/1978,Aug-78,Top 10%-1%,adult,0.27510703,8.69E+12,0.424472208,0.070917046,642864.3875,0.070917046,1.070917046,0.070917046,992272364.3
1978,8,01/08/1978,Aug-78,Middle 40%,adult,0.27510703,7.12E+12,0.347676844,0.113602776,118475.4568,0.113602776,1.113602776,0.113602776,33701477.7
1978,8,01/08/1978,Aug-78,Bottom 50%,adult,0.27510703,1.76E+11,0.008583814,-0.071648788,2340.038044,-0.071648788,0.928351212,-0.071648788,13147.34309
1978,9,01/09/1978,Sep-78,Top 1%,adult,0.27679485,4.50E+12,0.21878671,0.050716574,2991854.966,0.050716574,1.050716574,0.050716574,21491821923
1978,9,01/09/1978,Sep-78,Top 10%-1%,adult,0.27679485,8.72E+12,0.423650723,0.072312837,643702.2715,0.072312837,1.072312837,0.072312837,994860627
1978,9,01/09/1978,Sep-78,Middle 40%,adult,0.27679485,7.19E+12,0.34924745,0.122263311,119396.8453,0.122263311,1.122263311,0.122263311,34227711.61
1978,9,01/09/1978,Sep-78,Bottom 50%,adult,0.27679485,1.71E+11,0.00831512,-0.097790229,2274.144916,-0.097790229,0.902209771,-0.097790229,12417.33598
1978,10,01/10/1978,Oct-78,Top 1%,adult,0.27923843,4.48E+12,0.218173652,0.04477563,2974938.469,0.04477563,1.04477563,0.04477563,21249471601
1978,10,01/10/1978,Oct-78,Top 10%-1%,adult,0.27923843,8.69E+12,0.423022248,0.067659696,640909.0218,0.067659696,1.067659696,0.067659696,986245262.6
1978,10,01/10/1978,Oct-78,Middle 40%,adult,0.27923843,7.21E+12,0.350986947,0.124627172,119648.335,0.124627172,1.124627172,0.124627172,34372053.47
1978,10,01/10/1978,Oct-78,Bottom 50%,adult,0.27923843,1.61E+11,0.007817159,-0.154246052,2131.840181,-0.154246052,0.845753948,-0.154246052,10911.92688
1978,11,01/11/1978,Nov-78,Top 1%,adult,0.28097194,4.47E+12,0.217446848,0.039936805,2961160.195,0.039936805,1.039936805,0.039936805,21053095744
1978,11,01/11/1978,Nov-78,Top 10%-1%,adult,0.28097194,8.68E+12,0.422301905,0.064451258,638983.0177,0.064451258,1.064451258,0.064451258,980326611.9
1978,11,01/11/1978,Nov-78,Middle 40%,adult,0.28097194,7.25E+12,0.352847593,0.129114192,120125.706,0.129114192,1.129114192,0.129114192,34646874.75
1978,11,01/11/1978,Nov-78,Bottom 50%,adult,0.28097194,1.52E+11,0.007403662,-0.20002801,2016.440401,-0.20002801,0.79997199,-0.20002801,9762.542569
1978,12,01/12/1978,Dec-78,Top 1%,adult,0.28232023,4.47E+12,0.21667572,0.038229837,2956299.7,0.038229837,1.038229837,0.038229837,20984038712
1978,12,01/12/1978,Dec-78,Top 10%-1%,adult,0.28232023,8.69E+12,0.421354345,0.064093136,638768.0395,0.064093136,1.064093136,0.064093136,979667084.5
1978,12,01/12/1978,Dec-78,Middle 40%,adult,0.28232023,7.32E+12,0.354728145,0.137301941,120996.7951,0.137301941,1.137301941,0.137301941,35151178.87
1978,12,01/12/1978,Dec-78,Bottom 50%,adult,0.28232023,1.49E+11,0.007241792,-0.216022406,1976.124307,-0.216022406,0.783977594,-0.216022406,9376.06653
1979,1,01/01/1979,Jan-79,Top 1%,adult,0.28437737,4.52E+12,0.217670722,0.047418341,2982463.439,0.047418341,1.047418341,0.047418341,21357106680
1979,1,01/01/1979,Jan-79,Top 10%-1%,adult,0.28437737,8.74E+12,0.421018283,0.067751081,640963.8798,0.067751081,1.067751081,0.067751081,986414103.1
1979,1,01/01/1979,Jan-79,Middle 40%,adult,0.28437737,7.34E+12,0.35357445,0.138407913,121114.4588,0.138407913,1.138407913,0.138407913,35219577.84
1979,1,01/01/1979,Jan-79,Bottom 50%,adult,0.28437737,1.61E+11,0.007736555,-0.158910668,2120.082367,-0.158910668,0.841089332,-0.158910668,10791.89293
1979,2,01/02/1979,Feb-79,Top 1%,adult,0.2857486,4.59E+12,0.218723724,0.061285873,3021950.436,0.061285873,1.061285873,0.061285873,21926374832
1979,2,01/02/1979,Feb-79,Top 10%-1%,adult,0.2857486,8.82E+12,0.420489262,0.075326401,645511.2938,0.075326401,1.075326401,0.075326401,1000460278
1979,2,01/02/1979,Feb-79,Middle 40%,adult,0.2857486,7.39E+12,0.35238981,0.144080827,121717.9963,0.144080827,1.144080827,0.144080827,35571464.76
1979,2,01/02/1979,Feb-79,Bottom 50%,adult,0.2857486,1.76E+11,0.008397207,-0.079453637,2320.36484,-0.079453637,0.920546363,-0.079453637,12927.20727
1979,3,01/03/1979,Mar-79,Top 1%,adult,0.28775164,4.65E+12,0.219797958,0.073065072,3055491.027,0.073065072,1.073065072,0.073065072,22415797031
1979,3,01/03/1979,Mar-79,Top 10%-1%,adult,0.28775164,8.88E+12,0.420003815,0.080698497,648736.1277,0.080698497,1.080698497,0.080698497,1010481411
1979,3,01/03/1979,Mar-79,Middle 40%,adult,0.28775164,7.42E+12,0.351217589,0.147296153,122060.0727,0.147296153,1.147296153,0.147296153,35771685.92
1979,3,01/03/1979,Mar-79,Bottom 50%,adult,0.28775164,1.90E+11,0.008980646,-0.009431933,2496.864261,-0.009431933,0.990568067,-0.009431933,14968.62906
1979,4,01/04/1979,Apr-79,Top 1%,adult,0.29043832,4.68E+12,0.220879494,0.080100409,3075523.745,0.080100409,1.080100409,0.080100409,22710689984
1979,4,01/04/1979,Apr-79,Top 10%-1%,adult,0.29043832,8.90E+12,0.41978315,0.081888842,649450.6838,0.081888842,1.081888842,0.081888842,1012708644
